text,authoer,tags
"
      “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”
  ",,"misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom"
"
      “We are all in the gutter, but some of us are looking at the stars.”
  ",,"inspirational,optimism,perception,pessimism"
"
      “The fool doth think he is wise, but the wise man knows himself to be a fool.”
  ",,wisdom
"
      “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”
  ",,"books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton"
"
      “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”
  ",,"individuality,majority,minority,pause,reflect,wisdom"
"
      “Life is what happens to us while we are making other plans.”
  ",,"fate,life,misattributed-john-lennon,planning,plans"
"
      “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”
  ",,"attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed"
"
      “I have not failed. I've just found 10,000 ways that won't work.”
  ",,"edison,failure,inspirational,paraphrased"
"
      “A woman is like a tea bag; you never know how strong it is until it's in hot water.”
  ",,"attributed-no-source,misattributed-eleanor-roosevelt"
"
      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”
  ",,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
"
      “It is not a lack of love, but a lack of friendship that makes unhappy marriages.”
  ",,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
"
      “The man who does not read has no advantage over the man who cannot read.”
  ",,"aliteracy,attributed-no-source,literacy"
"
      “If you don't stand for something you will fall for anything.”
  ",,"belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks"
"
      “I may not have gone where I intended to go, but I think I have ended up where I needed to be.”
  ",,"life,navigation"
"
      “I solemnly swear that I am up to no good.”
  ",,mischief
"
      “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”
  ",,"love,poetry"
"
      “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”
  ",,"animals,books,dogs,friends,humor"
"
      “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
  ",,"1929,imagination,inspirational,viereck-interview"
"
      “I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”
  ",,fantasy
"
      “Love all, trust a few, do wrong to none.”
  ",,"do-wrong,love,trust,wrong"
"
      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
  ",,love
"
      “A day without sunshine is like, you know, night.”
  ",,"humor,obvious,simile"
"
      “Never put off till tomorrow what may be done day after tomorrow just as well.”
  ",,"humor,procrastination"
"
      “",,"forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world"
"
      “A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”
  ",,"read,readers,reading,reading-books"
"
      “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
  ",,inspirational
"
      “That which does not kill us makes us stronger.”
  ",,"paraphrased,strength"
"
      “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”
  ",,"courage,deeply-loved,love,strength,widely-misattributed"
"
      “It is never too late to be what you might have been.”
  ",,"inspirational,source-unknown"
"
      “For every minute you are angry you lose sixty seconds of happiness.”
  ",,happiness
"
      “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”
  ",,"courage,friends"
"
      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”
  ",,"attributed-no-source,friends,heartbreak,inspirational,life,love,sisters"
"
      “I love deadlines. I love the whooshing noise they make as they go by.”
  ",,"deadlines,humor,humour,work,writing"
"
      “If you judge people, you have no time to love them.”
  ",,attributed-no-source
"
      “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”
  ",,love
"
      “My thoughts are stars I cannot fathom into constellations.”
  ",,
"
      “If you can't explain it to a six year old, you don't understand it yourself.”
  ",,"attributed-no-source,simplicity,understand"
